old_slug,new_slug,lost_tokens
"mieux-entendre-la-ferte-bernard-0034","krys-audition-la-ferte-bernard-0034","mieux,entendre"
"acoustique-prestation-auditive-pontacq-0028","entendre-pontacq-0028","prestation,auditive"
"vyv3-coeur-d-aquitaine-mutualite-francaise-coeur-d-aquitaine-ssam-loudun-1566","ecouter-voir-audition-mutualiste-loudun-1566","coeur,aquitaine"
"vyv-3-centre-val-de-loire-mutualite-francaise-centre-val-de-loire-ssam-tours-2064","ecouter-voir-tours-2064","val,loire"
"union-depart-mutuelles-de-saone-et-loire-paray-le-monial-0925","ecouter-voir-paray-le-monial-0925","mutuelles,saone,loire"
"rofidal-acoustik-arles-0013","sonance-arles-0013","rofidal,acoustik"
"la-fee-de-l-ouie-meaux-0011","vivason-meaux-0011","fee,ouie"
"a2b-alpha-creil-0020","vivason-creil-0020","a2b,alpha"
"audio-alain-henry-centre-entendre-langon","entendre-langon-0015","alain,henry"
"ecoute-saint-germanoise-saint-germain-en-laye-0024","entendre-saint-germain-en-laye-0024","ecoute,germanoise"
"natconv-audiologiste-saint-pierre-du-perray-0035","optic-2000-audio-2000-saint-pierre-du-perray-0035","natconv,audiologiste"
"audio-laf-saint-martin-du-touch-toulouse-0012","audition-lafayette-toulouse-0012","laf,saint,martin,touch"
"essentiel-audition-val-de-loire-2-olivet-0013","audiplus-olivet-0013","essentiel,val,loire"
